,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,1,ARICA,2822,ARICA,7001,1M-200M,70010001,"0,96%",34. CAMILO MARTIN JOFRE CAÑIPA (H),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,1,ARICA,2822,ARICA,7001,1M-200M,70010001,"0,96%",35. VALENTINA PAZ ALBARRACIN GONZALEZ (M),,,1.0
0,ZR.PARTIDO DE TRABAJADORES REVOLUCIONARIOS,PTR,0,ARICA,2822,ARICA,7001,1M-200M,70010001,"0,00%",36. MANUEL AQUILES ROJAS VIDELA (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,7,ARICA,2822,ARICA,7001,1M-200M,70010001,"6,73%",37. RODRIGO LEONARDO MUÑOZ PONCE (H),,,1.0
0,CANDIDATURA INDEPENDIENTE,IND,13,ARICA,2822,ARICA,7001,1M-200M,70010001,"12,50%",38. ROMINA ALEJANDRA LE BLANC AMPUERO (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",1. MILENE ROSSINA MOLINA ARANCIBIA (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,7,ARICA,2822,ARICA,7001,2M-11M,70010002,"7,29%",2. JOSE ISAAC BARRAZA LLERENA (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,,ARICA,2822,ARICA,7001,2M-11M,70010002,"0,00%",3. YARLLETTE ISABEL MARAMBIO FLOR (M),,,1.0
0,WE.SUMATE AHORA (D1),IND,1,ARICA,2822,ARICA,7001,2M-11M,70010002,"1,04%",4. SERGIO JESUS GALLARDO ALFARO (H),,,1.0
0,WE.SUMATE AHORA (D1),IND,1,ARICA,2822,ARICA,7001,2M-11M,70010002,"1,04%",5. REBECA BUTRON CATALAN (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,4,ARICA,2822,ARICA,7001,2M-11M,70010002,"4,17%",6. GIGLIOLA MARIA CARLEVARINO WEITZEL (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,4,ARICA,2822,ARICA,7001,2M-11M,70010002,"4,17%",7. WILLI HANS ZUCHEL BALCARCE (H),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,1,ARICA,2822,ARICA,7001,2M-11M,70010002,"1,04%",8. CARMEN LIA VERGARA BERTON (M),,,1.0
0,WK.ARICA SIEMPRE ARICA (D1),IND,2,ARICA,2822,ARICA,7001,2M-11M,70010002,"2,08%",9. CRISTIAN GUSTAVO PINTO CORTEZ (H),,,1.0
