,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,Q.LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),IND,5,FRESIA,2710,FRESIA,7462,1M,74620001,"6,94%",1. VICTORIA PILAR ARRIAGADA OYARZUN (M),,,25.0
1,Q.LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",2. AQUILES BERNABE MERCADO RIOSECO (H),,,25.0
0,XP.VAMOS POR CHILE,IND-UDI,1,FRESIA,2710,FRESIA,7462,1M,74620001,"1,39%",3. MARIA CECILIA UBILLA PEREZ (M),,*,25.0
1,XP.VAMOS POR CHILE,IND-UDI,2,FRESIA,2710,FRESIA,7462,1M,74620001,"2,78%",4. SERGIO ANTONIO WILLER DANIEL (H),,,25.0
2,XP.VAMOS POR CHILE,IND-EVOPOLI,1,FRESIA,2710,FRESIA,7462,1M,74620001,"1,39%",5. ALICIA VESPERINAS BARRIENTOS (M),,,25.0
3,XP.VAMOS POR CHILE,RN,22,FRESIA,2710,FRESIA,7462,1M,74620001,"30,56%",6. HARRY JURGENSEN CAESAR (H),,*,25.0
4,XP.VAMOS POR CHILE,REPUBL.,2,FRESIA,2710,FRESIA,7462,1M,74620001,"2,78%",7. MARISOL DEL CARMEN BAÑARES ZUÑIGA (M),,,25.0
0,YB.LISTA DEL APRUEBO,PL,1,FRESIA,2710,FRESIA,7462,1M,74620001,"1,39%",8. GIOVANNA ELVIRA MOREIRA ALMONACID (M),,,25.0
1,YB.LISTA DEL APRUEBO,PDC,4,FRESIA,2710,FRESIA,7462,1M,74620001,"5,56%",9. JUAN  ALVAREZ QUEULO (H),,,25.0
2,YB.LISTA DEL APRUEBO,IND-PL,2,FRESIA,2710,FRESIA,7462,1M,74620001,"2,78%",10. LUISA FERNANDA DE LA PRIDA SANHUEZA (M),,,25.0
3,YB.LISTA DEL APRUEBO,PS,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",11. ENZO JARAMILLO HOTT (H),,,25.0
4,YB.LISTA DEL APRUEBO,IND-PDC,3,FRESIA,2710,FRESIA,7462,1M,74620001,"4,17%",12. CECILIA  KRAMM KRAMM (M),,,25.0
5,YB.LISTA DEL APRUEBO,PS,6,FRESIA,2710,FRESIA,7462,1M,74620001,"8,33%",13. MARIO VARGAS VIDAL (H),,*,25.0
0,YQ.APRUEBO DIGNIDAD,RD,17,FRESIA,2710,FRESIA,7462,1M,74620001,"23,61%",14. DANIELA ABIGAIL CARVACHO DIAZ (M),,,25.0
1,YQ.APRUEBO DIGNIDAD,IND-RD,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",15. GUSTAVO SALVO PEREIRA (H),,,25.0
2,YQ.APRUEBO DIGNIDAD,PCCH,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",16. ELBA ELENA VARGAS FUENTES (M),,,25.0
3,YQ.APRUEBO DIGNIDAD,IND-PCCH,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",17. GONZALO ELISEO DIAZ MARTINEZ (H),,,25.0
4,YQ.APRUEBO DIGNIDAD,IND-COMUNES,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",18. MARIA INES BARRERA BARRERA (M),,,25.0
5,YQ.APRUEBO DIGNIDAD,IND-COMUNES,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",19. MARIO JACINTO GONZALEZ ESPARZA (H),,,25.0
0,ZQ.NUESTRAS VOCES (D25),IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",20. CRISTINA PATRICIA AÑASCO HINOSTROZA (M),,,25.0
1,ZQ.NUESTRAS VOCES (D25),IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",21. FELIPE ANDRES MATUS BARRIENTOS (H),,,25.0
2,ZQ.NUESTRAS VOCES (D25),IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",22. BEATRIZ BAHAMONDES ARANEDA (M),,,25.0
3,ZQ.NUESTRAS VOCES (D25),IND,1,FRESIA,2710,FRESIA,7462,1M,74620001,"1,39%",23. CLAUDIO JAVIER PAREJA PINEDA (H),,,25.0
0,ZT.INDEPENDIENTES POR LA NUEVA CONSTITUCION (D25),IND,2,FRESIA,2710,FRESIA,7462,1M,74620001,"2,78%",24. MARIA CAROLINA LAGOS OYARZUN (M),,,25.0
1,ZT.INDEPENDIENTES POR LA NUEVA CONSTITUCION (D25),IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",25. JUAN CARLOS SEBASTIAN CLARET POOL (H),,,25.0
2,ZT.INDEPENDIENTES POR LA NUEVA CONSTITUCION (D25),IND,1,FRESIA,2710,FRESIA,7462,1M,74620001,"1,39%",26. JORGE ALEJANDRO CONTRERAS GODOY (H),,,25.0
0,CANDIDATURA INDEPENDIENTE,IND,,FRESIA,2710,FRESIA,7462,1M,74620001,"0,00%",27. RODRIGO IGNACIO HIDALGO SOLIS (H),,,25.0
0,CANDIDATURA INDEPENDIENTE,IND,2,FRESIA,2710,FRESIA,7462,1M,74620001,"2,78%",28. MERI ROSBITA FUENTEALBA PACHECO (M),,,25.0
0,Q.LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),IND,1,FRESIA,2710,FRESIA,7462,2M,74620002,"1,20%",1. VICTORIA PILAR ARRIAGADA OYARZUN (M),,,25.0
1,Q.LISTA DEL PUEBLO TRANSFORMANDO DESDE EL WILLI (D25),IND,0,FRESIA,2710,FRESIA,7462,2M,74620002,"0,00%",2. AQUILES BERNABE MERCADO RIOSECO (H),,,25.0
0,XP.VAMOS POR CHILE,IND-UDI,1,FRESIA,2710,FRESIA,7462,2M,74620002,"1,20%",3. MARIA CECILIA UBILLA PEREZ (M),,*,25.0
