,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,"XC.A PULSO, POR EL BUEN VIVIR (D27)",IND,0,AYSEN,2739,AISEN,7491,1M,74910001,"0,00%",1. DEISY PAULINA AVENDAÑO AVENDAÑO (M),,,27.0
1,"XC.A PULSO, POR EL BUEN VIVIR (D27)",IND,2,AYSEN,2739,AISEN,7491,1M,74910001,"2,13%",2. PATRICIO ORLANDO SEGURA ORTIZ (H),,,27.0
2,"XC.A PULSO, POR EL BUEN VIVIR (D27)",IND,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",3. ILSIE BEATRIZ WOLF HERRERA (M),,,27.0
3,"XC.A PULSO, POR EL BUEN VIVIR (D27)",IND,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",4. CECILIO ALIER AGUILAR GALINDO (H),,,27.0
4,"XC.A PULSO, POR EL BUEN VIVIR (D27)",IND,0,AYSEN,2739,AISEN,7491,1M,74910001,"0,00%",5. JORGE CONTRERAS MUÑOZ (H),,,27.0
0,XP.VAMOS POR CHILE,EVOPOLI,11,AYSEN,2739,AISEN,7491,1M,74910001,"11,70%",6. GEOCONDA NAVARRETE ARRATIA (M),,*,27.0
1,XP.VAMOS POR CHILE,IND-UDI,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",7. ARISTIDES BENAVENTE ANINAT (H),,,27.0
2,XP.VAMOS POR CHILE,UDI,4,AYSEN,2739,AISEN,7491,1M,74910001,"4,26%",8. MARIA TERESA CALVIS AVILES (M),,,27.0
3,XP.VAMOS POR CHILE,RN,3,AYSEN,2739,AISEN,7491,1M,74910001,"3,19%",9. MARCOS VARGAS ACEITUNO (H),,,27.0
4,XP.VAMOS POR CHILE,EVOPOLI,2,AYSEN,2739,AISEN,7491,1M,74910001,"2,13%",10. CINTHYA GIOVANNA PANTANALLI WANDERSLEBEN (M),,,27.0
0,YB.LISTA DEL APRUEBO,PS,9,AYSEN,2739,AISEN,7491,1M,74910001,"9,57%",11. VIVIANA BETANCOURT GALLEGOS (M),,,27.0
1,YB.LISTA DEL APRUEBO,PS,40,AYSEN,2739,AISEN,7491,1M,74910001,"42,55%",12. TOMAS LAIBE SAEZ (H),,*,27.0
2,YB.LISTA DEL APRUEBO,PPD,2,AYSEN,2739,AISEN,7491,1M,74910001,"2,13%",13. PAULINA PAZ RUZ DELFIN (M),,,27.0
3,YB.LISTA DEL APRUEBO,PR,2,AYSEN,2739,AISEN,7491,1M,74910001,"2,13%",14. GUILLERMO MARTINEZ GONZALEZ (H),,,27.0
4,YB.LISTA DEL APRUEBO,PDC,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",15. JANNETTE SALGADO CHACON (M),,,27.0
5,YB.LISTA DEL APRUEBO,PDC,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",16. MARIO SANDOVAL VARGAS (H),,,27.0
0,YD.PATAGONIA SOMOS TODOS (D27),IND,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",17. MACARENA MAGDALENA MEDRANO VILLAGRA (M),,,27.0
1,YD.PATAGONIA SOMOS TODOS (D27),IND,0,AYSEN,2739,AISEN,7491,1M,74910001,"0,00%",18. LUIS ROLANDO DEL RIO MONCADA (H),,,27.0
2,YD.PATAGONIA SOMOS TODOS (D27),IND,1,AYSEN,2739,AISEN,7491,1M,74910001,"1,06%",19. DINA ELIZABETH AHUMADA CARES (M),,,27.0
3,YD.PATAGONIA SOMOS TODOS (D27),IND,3,AYSEN,2739,AISEN,7491,1M,74910001,"3,19%",20. JOSE LUIS SANCHEZ HUENTELICAN (H),,,27.0
