,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,XP.VAMOS POR CHILE,RN,5,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"6,02%",1. PATRICIA LABRA BESSERER (M),,*,18.0
1,XP.VAMOS POR CHILE,RN,5,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"6,02%",2. LEROY IBAÑEZ HUENUR (H),,,18.0
2,XP.VAMOS POR CHILE,IND-REPUBL.,3,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"3,61%",3. DENISE PATRICIA MEWES SCHNAIDT (M),,,18.0
3,XP.VAMOS POR CHILE,REPUBL.,4,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"4,82%",4. JUAN ANIBAL ARIZTIA CORREA (H),,,18.0
4,XP.VAMOS POR CHILE,UDI,2,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"2,41%",5. MARIA EUGENIA HORMAZABAL CARVAJAL (M),,,18.0
5,XP.VAMOS POR CHILE,UDI,14,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"16,87%",6. MANUEL ABRAHAM NOMAN ELIAS (H),,,18.0
0,YB.LISTA DEL APRUEBO,IND-PS,0,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"0,00%",7. ANA NICOL ARAVENA GAJARDO (M),,,18.0
1,YB.LISTA DEL APRUEBO,IND-PDC,1,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"1,20%",8. ALEJANDRO ARAYA VALDES (H),,,18.0
2,YB.LISTA DEL APRUEBO,PDC,8,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"9,64%",9. MARIA SOLEDAD MEDEL SALAZAR (M),,,18.0
3,YB.LISTA DEL APRUEBO,IND-CIUDADANOS,0,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"0,00%",10. ERNESTO CARLOS GARRATT VIÑES (H),,,18.0
4,YB.LISTA DEL APRUEBO,IND-CIUDADANOS,0,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"0,00%",11. DANIELA ALEJANDRA ORTEGA MUÑOZ (M),,,18.0
5,YB.LISTA DEL APRUEBO,PS,7,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"8,43%",12. RICARDO MONTERO ALLENDE (H),,*,18.0
0,YQ.APRUEBO DIGNIDAD,RD,15,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"18,07%",13. CONSUELO VELOSO AVILA (M),,,18.0
1,YQ.APRUEBO DIGNIDAD,IND-RD,0,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"0,00%",14. RICARDO GERMAN TAPIA MUÑOZ (H),,,18.0
2,YQ.APRUEBO DIGNIDAD,IND-RD,0,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"0,00%",15. GLORIA MARGOT PARADA SANCHEZ (M),,,18.0
3,YQ.APRUEBO DIGNIDAD,PCCH,1,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"1,20%",16. CARLOS RAUL FUENTES BARROS (H),,,18.0
4,YQ.APRUEBO DIGNIDAD,PCCH,1,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"1,20%",17. DENISA DEL PILAR COFRE CACERES (M),,,18.0
0,ZD.LA LISTA DEL PUEBLO MAULE SUR (D18),IND,4,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"4,82%",18. FRANCISCA MARYCARMEN ARAUNA URRUTIA (M),,*,18.0
1,ZD.LA LISTA DEL PUEBLO MAULE SUR (D18),IND,1,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"1,20%",19. RODRIGO ALVARO NORAMBUENA ORTEGA (H),,,18.0
2,ZD.LA LISTA DEL PUEBLO MAULE SUR (D18),IND,2,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"2,41%",20. PRISCILA VERONICA GONZALEZ CARRILLO (M),,,18.0
3,ZD.LA LISTA DEL PUEBLO MAULE SUR (D18),IND,9,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"10,84%",21. FERNANDO SALINAS MANFREDINI (H),,**,18.0
4,ZD.LA LISTA DEL PUEBLO MAULE SUR (D18),IND,1,CAUQUENES,2622,CAUQUENES,7302,1M,73020001,"1,20%",22. CAMILA CONSTANZA CABALLERO RIVERA (M),,,18.0
0,XP.VAMOS POR CHILE,RN,3,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"3,95%",1. PATRICIA LABRA BESSERER (M),,*,18.0
1,XP.VAMOS POR CHILE,RN,5,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"6,58%",2. LEROY IBAÑEZ HUENUR (H),,,18.0
2,XP.VAMOS POR CHILE,IND-REPUBL.,1,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"1,32%",3. DENISE PATRICIA MEWES SCHNAIDT (M),,,18.0
3,XP.VAMOS POR CHILE,REPUBL.,2,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"2,63%",4. JUAN ANIBAL ARIZTIA CORREA (H),,,18.0
4,XP.VAMOS POR CHILE,UDI,1,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"1,32%",5. MARIA EUGENIA HORMAZABAL CARVAJAL (M),,,18.0
5,XP.VAMOS POR CHILE,UDI,5,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"6,58%",6. MANUEL ABRAHAM NOMAN ELIAS (H),,,18.0
0,YB.LISTA DEL APRUEBO,IND-PS,1,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"1,32%",7. ANA NICOL ARAVENA GAJARDO (M),,,18.0
1,YB.LISTA DEL APRUEBO,IND-PDC,4,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"5,26%",8. ALEJANDRO ARAYA VALDES (H),,,18.0
2,YB.LISTA DEL APRUEBO,PDC,7,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"9,21%",9. MARIA SOLEDAD MEDEL SALAZAR (M),,,18.0
3,YB.LISTA DEL APRUEBO,IND-CIUDADANOS,0,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"0,00%",10. ERNESTO CARLOS GARRATT VIÑES (H),,,18.0
4,YB.LISTA DEL APRUEBO,IND-CIUDADANOS,1,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"1,32%",11. DANIELA ALEJANDRA ORTEGA MUÑOZ (M),,,18.0
5,YB.LISTA DEL APRUEBO,PS,6,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"7,89%",12. RICARDO MONTERO ALLENDE (H),,*,18.0
0,YQ.APRUEBO DIGNIDAD,RD,17,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"22,37%",13. CONSUELO VELOSO AVILA (M),,,18.0
1,YQ.APRUEBO DIGNIDAD,IND-RD,2,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"2,63%",14. RICARDO GERMAN TAPIA MUÑOZ (H),,,18.0
2,YQ.APRUEBO DIGNIDAD,IND-RD,1,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"1,32%",15. GLORIA MARGOT PARADA SANCHEZ (M),,,18.0
3,YQ.APRUEBO DIGNIDAD,PCCH,0,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"0,00%",16. CARLOS RAUL FUENTES BARROS (H),,,18.0
4,YQ.APRUEBO DIGNIDAD,PCCH,0,CAUQUENES,2622,CAUQUENES,7302,2M,73020002,"0,00%",17. DENISA DEL PILAR COFRE CACERES (M),,,18.0
