,Lista/Pacto,Partido,Votos,comuna,comuna_id,circ_electoral,circ_electoral_id,mesa,id_mesa,Porcentaje,Candidatos,Electo,,distrito
0,XG.PARTIDO HUMANISTA,PH,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",1. CHRISTIAN BORDOLI AQUEVEQUE (H),,,28.0
0,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",2. CLAUDIA SRDANOVIC CARDENAS (M),,,28.0
1,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",3. MAURICIO DAZA CARRASCO (H),,*,28.0
2,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",4. PAMELA HERRERA FIGUEROA (M),,,28.0
3,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",5. JAIME COSME ORMEÑO (H),,,28.0
4,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",6. DANIELA LUCERO GALLARDO (M),,,28.0
5,XM.REGIONALISMO CIUDADANO INDEPENDIENTE (D28),IND,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",7. JUAN CARLOS KALAZICH SANTANA (H),,,28.0
0,XP.VAMOS POR CHILE,RN,1,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"25,00%",8. MARIA TERESA CASTAÑON SILVA (M),,,28.0
1,XP.VAMOS POR CHILE,UDI,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",9. RODRIGO ALVAREZ ZENTENO (H),,*,28.0
2,XP.VAMOS POR CHILE,IND-RN,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",10. GABRIELA TERESA CASANUEVA MENDEZ (M),,,28.0
3,XP.VAMOS POR CHILE,IND-UDI,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",11. MARCELO TORCHE SUAREZ (H),,,28.0
4,XP.VAMOS POR CHILE,IND-EVOPOLI,0,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA,2751,ANTARTICA,7514,1M-2V-3V,75140001,"0,00%",12. SILVANA  CAMELIO THOMSEN (M),,,28.0
